words (in Hausa Language),English
Mai hanzari,Quick
Mai hargagi,Raucous
Mai hargitsi,Disruptive
Mai harshe biyu,Bilingual
Mai hasada,Envies
Mai hasara,Loser
Mai hasashe,Imaginative
Mai haskakawa,Illuminating
Mai haskawa,Shimmering
Mai haske,Garish
Mai hasken rana,Sunlight
Mai hassada,Envious
Mai haushi,Irritant
Mai hawan basukur,Cyclist
Mai haya,Tenant
Mai hazikanci,Clever
Mai hazo,Fuzzy
Mai hidima,Attendant
Mai hijira,Gypsy
Mai hikima,Sage
Mai hila,Crafty
Mai himma,Enthusiastic
Mai holewa,Comfortable
Mai hukunci,Judder
Mai hurawa,Blower
Mai huruwa,Burning
Mai hutu,Restful
Mai ibada,Godly
Mai iko,Authoritarian
Mai ilimi,Educated
Mai imani,Believeable
Mai inda-inda,Capricious
Mai inganci,Sophisticated
Mai isa aiki,Serviceable
Mai isa gaskatawa,Credible
Mai isa taimako,Deserving
Mai isa tausayi,Pathetic
Mai isa tunani,Serious
Mai isa yabo,Creditable
Mai isa zargi,Reprehensible
Mai iskoki,Hysterics
Mai ita,It
Mai iya,Able
Mai iya aiki,Workable
Mai iya cikawa,Enfeeble
Mai iya jurewa,Hardy
Mai iya muamala,Jaunty
Mai iya narkewa,Soluble
Mai iya warwarewa,Soluble
Mai iya zance,Fluent
Mai iyawa,Potable
Mai jagoranci,Mentor
Mai jan fada,Aggressive
Mai jan hankali,Mesmerizing
Mai jar zuciya,Valiant
Mai jarabawa,Temptingly
Mai jarumtaka,Courage
Mai jawo hankali,Interest
Mai jawo matsala,Beleaguer
Mai jayayya,Contestable
Mai ji kwarai,Sensitive
Mai ji sosai,Sensitive
Mai jiɓanta,Felt
Mai jiɓantar,Jibantar
Mai jiki,Stout
Mai jimamin mutuwa,Mourner
Mai jin barci,Somnolent
Mai jin ciwo,Tender
Mai jin dadi,Raptureous
Mai jin godiya,Grateful
Mai jin haushi,Tetchily
Mai jin kai,Haughty
Mai jin kishirwa,Thirsty
Mai jin kunya,Shy
Mai jin rauni,Casualty
Mai jin tsoro,Dreadful
Mai jin yunwa,Hungry
Mai jini,Bloody
Mai jinƙai,Merciful
Mai jinkiri,Dilatory
Mai jiri,Giddy
Mai jiwa,Giddy
Mai jiyya,Nurse
Mai jujjuyuwa,Maneuverable
Mai juna biyu,Pregnant
Mai juriya,Resistive
Mai jurum,Pensive
Mai juyayi,Sympathetic
Mai kaala,Slaggish
Mai kada gindi,Wagtail
Mai kadaici,Lonely
Mai kafewa,Adamant
Mai kafirin yawa,Immense
Mai kaida,Principled
Mai kaifi,Sharp
Mai kaifi matuka,Sharpest
Mai kaifin layi,Hard-liner
Mai kallo,Onlooker
Mai kallon jaraba,Leery
Mai kama,Captor
Mai kamar gado,Sofa
Mai kamar siliki,Silky
Mai kamawa,Captor
Mai kamshi,Flagrant
Mai kamuwa da cuta,Infectious
Mai kan kunya,Dishonorable
Mai kangara,Perverse
Mai kanti,Shopkeeper
Mai kara,Litigant
Mai kara kuzari,Stimulative
Mai kara lafiya,Benign
Mai karamci,Hospitable
Mai karancin hadari,Low-risk
Mai karatu,Reader
Mai karɓa,Receptive
Mai karewa,Dodgey
Mai karfi,Robust
Mai ƙarfi,Strident
Mai karfin hali,Courageous
Mai karfin zuciya,Heavyhearted
Mai kari,Exorbitant
Mai karimci,Warmhearted
Mai kariya,Impervious
Mai karko,Permanent
Mai karo da juna,Conflicting
Mai karsashi,Peppy
Mai karya doka,Lawbreaker
Mai kasa barci,Sleepless
Mai kasada,Rash
Mai kasagani,Inquisitive
Mai kasala,Debilitating
Mai kasawa,Disabling
Mai kashe gobara,Fireman
Mai kasuwa,Hotcake
Mai kauna,Loving
Mai kauri,Firm
Mai kaurin jiki,Burly
Mai kaushi,Rough
Mai kawo barna,Fatal
Mai kawo gyara,Reformer
Mai kawo hadari,Dangerous
Mai kawo kankanci,Derogatory
Mai kawo masifa,Dire
Mai kawo rahoto,Reporter
Mai kaya,A gear
Mai kaya,A gear
Mai ƙaya,A gear
Mai kayatarwa,Awesome
Mai kazafi,Slanderous
Mai kazanta,Crummy
Mai keta doka,Violator
Mai ketare biyayya,Disloyal
Mai ki,Unwilling
Mai kiba,Fatty
Mai kiba,Fatty
Mai ƙiba,Fat
Mai kiba kwarai,Bloated
Mai kima,Sumptuous
Mai kin cudanya da jamaa,Antisocial
Mai kin lankwasa,Stiff
Mai kintsi,Tidy
Mai kiriniya,Troublesome
Mai kirki,Kindly
Mai kirkira,Creative
Mai ƙirƙira,Inventor
Mai kisa,Killer
Mai kisan kai,Murderer
Mai kishi,Zealot
Mai kishin kasa,Patriot
Mai kissa,Gentle
Mai kiyayewa,Preservative
Mai kokari,Active
Mai kokari,Active
Mai ƙoƙari,A try
Mai komewa,Recurrent
Mai konewa,Smoulder
Mai kosawa,Eager
Mai koyarwa,Instructive
Mai kudi,Expensive
Mai kududu,Despondent
Mai kuka,You
Mai kula,Cautious
Mai kula da jarrabawa,Proctor
Mai kula kwarai,Painstaking
Mai kulawa,Caretaker
Mai kumallo,Bilious
Mai kumburi,Bumpy
Mai kunci,Narrow
Mai kunga-kunga,Hustler
Mai kunya,Bashful
Mai kura,Dusty
Mai kurzanta raa yi,Vociferously
Mai kuskunda,Changeable
Mai kuskure,Erroneous
Mai kusunniya,Restless
Mai kutsawa,Intruder
Mai kuzari,Energetic
Mai kwadayi,Rapacious
Mai kwadayin,Eager
Mai kwalliya,Buoyant
Mai kwanciyar hankali,Tranquil
Mai kwarin guiwa,Sanguine
Mai kwarjini,Charismatic
Mai kwazo,Vigorous
Mai ƙwazo,Diligent
Mai kyakkyawan fata,Optimist
Mai kyakkyawan hali,Noble
Mai kyalkyali,Glittering
Mai kyama,Repulsive
Mai kyan gani,Fine-looking
Mai kyan gaske,Splendid
Mai kyan muamala,Amiabily
Mai kyau,Dandy
Mai kyaun gani,Handsome
Mai kyaun kai,Tractable
Mai kyaun zuciya,Kind
Mai kyauta,Libelous
Mai kyautatawa,Benevolent
Mai kyuata,Generous
Mai la’akari,Vigilant
Mai ladabi,Elegant
Mai ladabtarwa,Crisper
Mai lafiya,Healthful
Mai lafiyar hali,Placid
Mai laifi,Criminal
Mai laima,Damp
Mai lakwas,Dispirited
Mai lalacewa,Devastatingly
Mai lalata,Defiler
Mai lalatawa,Debaser
Mai lambar yabo,Laureate
Mai lami,Tasteless
Mai lamuni,Surety
Mai lanko,Cheat
Mai lankwasa,Bender
Mai laudi,Pliable
Mai laulayi,Susceptible
Mai launi,Colorful
Mai launin kore,Verdant
Mai laushi,Moody
Mai lubus,Sodden
Mai lura,Observant
Mai ma’ana,Significant
Mai maana,Reasonably
Mai madaukakiyar iyawa,Genius
Mai magagi,Dazed
Mai magani,Chemist
Mai magudi,Bias
Mai maiko,Greasy
Mai makara,Belated
Mai makirci,Crafty
Mai mamayewa,Invader
Mai mannewa,Sticky
Mai mantuwa,Forgetful
Mai martaba,Noble
Mai masauki,Landlord
Mai masifa,Catastrophic
Mai matacciyar zuciya,Downheartedly
Mai matsala,Troublemaker
Mai matukar annashuwa,Rapturously
Mai matukar ban mamaki,Flabbergasted
Mai matukar farin ciki,Idyllic
Mai matukar kankanta,Flakey
Mai matukar rauni,Tenuous
Mai matukar rikitarwa,Imbroglio
Mai matukar saa,Luckiest
Mai maye,Drunk
Mai maye gurbin mai amfani,User-replaceable
Mai motsa shaawa,Racy
Mai motsawa,Lively
Mai motsawa a hankali,Slow-moving
Mai motsi,Vivacious
Mai mugun hali,Malignant
Mai mugun wayo,Sly
Mai mugun zance,Coarse
Mai muhimmanci,Valuable
Mai mulki,Domineer
Mai mulkin,Regent
Mai mulkin kai,Autocrat
Mai mulkin kama-karya,Dictator
Mai mulkin karfi,Dictator
Mai muni,Ugly
Mai murna,Gleeful
Mai murya,Vocal
Mai musantawa,Gainsayer
Mai musun,Denier
Mai mutunci,Reputable
Mai mutuwa,Mortal
Mai muujiza,Miraculousness
Mai nacin karatu,Bookworm
Mai nadama,Regretful
Mai nahisa,Ominous
Mai narkewa,Diabolic
Mai nasara,Succulent
Mai nasiha,Exhorbitant
Mai nauyi,Deadweight
Mai nauyin yi,Onerous
Mai nawa,Dilatory
Mai neman gafara,Apologetic
Mai neman maza,Faggot
Mai neman sauyi,Revolutionary
Mai ni’ima,Fruitful
Mai niima,Blissful
Mai nisa,Remote
Mai nishadi,Gay
Mai niyya,Attentive
Mai nuna,Affirmative
Mai nuna kunya,Demure
Mai nuna kwarjini,Stately
Mai nuna wariyar launin fata,Racist
Mai nuna yaudara,Chisel
Mai nunawa,Demonstrative
Mai nutsuwa,Serene
Mai rabawa,Distributor
Mai radadi,Painful
Mai radadi,Painful
Mai raɗaɗi,Injudicious
Mai raguwa,Failing
Mai rahusa,Cheap
Mai rai,Alive
Mai raina,Contemptuous
Mai raina mutane,Supercillious
Mai rangyana,Querulous
Mai rarrabawa,Dissembler
Mai rarrabuwa,Dissident
Mai rarrafe,Creeping
Mai rataya,Hangman
Mai ratsa zuciya,Vibrantly
Mai rauni,Lethargic
Mai raunin zuciya,Heartbreaker
Mai raushi,Supple
Mai razana sosai,Spookier
Mai razanarwa,Spooky
Mai razanawa,Horrible
Mai reno,Nurse
Mai riba,Profiteer
Mai rigima,Controversial
Mai rigima da fushi,Snarky
Mai rigingine,Recumbent
Mai rikice-rikice,Contradictory
Mai rikici,Contentious
Mai rikitarwa,Confusing
Mai rinjaye,Predominant
Mai riya,Tempting
Mai riyawa,Fanciful
Mai roƙo,Appeal
Mai ruwa,Watery
Mai ruwa-ruwa,Aqueous
Mai sa barci,Soporific
Mai sa ciwo,Unhealthy
Mai sa dariya,Humorous
Mai sa halaka,Dangerous
Mai sa jijjiga,Jarring
Mai sa kai,Volunteer
Mai sa karaya,Formidable
Mai sa kunya,Ignominious
Mai sa kwadayi,Tantalizing
Mai sa kyama,Nasty
Mai sa mutuwa,Deadly
Mai sa ran,Optimistic
Mai sa rudewa,Deceptive
Mai sa’a,Fortunate
Mai saanyi,Chill
Mai sabani,Discordant
Mai sabawa,Intimate
Mai saɓawa,Adjustments
Mai sadarwa,Liaison
Mai sahiri,Sahiri
Mai sakin rai,Grudging
Mai sako-sako,Laxative
Mai salama,Tranquil
Mai salo,Sty
Mai samarwa,Producer
Mai sambatu,Delirious
Mai samu,Well-to-do
Mai samuawa,Accessible
Mai sanaa,Artisan
Mai sani,Conscious
Mai sanin alhakinsa,Dutiful
Mai santsi,Smoother
Mai sanya fargaba,Direly
Mai sanya walwala,Hiliarious
Mai sanya wuta,Incendiary
Mai sanyaya,Stymied
Mai sanyaya zuciya,Heartwarming
Mai sanyi,Glacial
Mai sanyin hali,Equable
Mai sarkakiya,Lugubrious
Mai sarkakiya,Lugubrious
Mai sarƙaƙiya,Complex
Mai sarrafuwa,Flexibility
Mai sasantawa,Negotiator
Mai sassauci,Lenient
Mai sassaucin raayi,Liberal
Mai sata,Stealthy
Mai sauki,Cushy
Mai sauƙi,Easy
Mai sauƙin amfani,Easy-to-use
Mai sauƙin fahimta,Simplistic
Mai saukin fashewa,Brittle
Mai saukin ganewa,Palpable
Mai saukin horuwa,Docile
Mai saukin kai,Easygoing
Mai saukin kamuwa,Susceptible
Mai saukin karantuwa,Legible
Mai saukin kudi,Cost-saving
Mai saukin sarrafuwa,User-friendly
Mai saukin tankwara,Flexible
Mai saukin yi,Feasible
Mai saukin zuciya,Light-hearted
Mai sauƙin zuciya,Lighthearted
Mai sauri,Fastuous
Mai saurin dauka,Susceptible
Mai saurin fushi,Irascible
Mai saurin hasala,Choleric
Mai saurin jiki,A quick body
Mai saurin motsawa,Impulsive
Mai saurin tashin hankali,Frantic
Mai saurin zance,Gibberish
Mai saya,Customer
Mai sayarwa,Vendor
Mai shaawa,Interested
Mai shafuwa,Deleterious
Mai shakka,Hesitant
Mai shakku,Doubtful
Mai shan taba,Smoker
Mai sharhi,Commentator
Mai shari’a,Judge
Mai shauki,Affectionate
Mai shayarwa,Butler
Mai shekara kaza,Aged
Mai sheki,Gloss
Mai shela,Chorus
Mai shi,Owner
Mai shiri,Neat
Mai shiru,Quiet
Mai shiryarwa,Guide
Mai shiryuwa,Guided
Mai siffantawa,Descriptive
Mai siffar faifai,Disk
Mai siffar kwai,Oval
Mai siffar kwai,Oval
Mai siffar kwallo,Round
Mai siffar zabe,Circular
Mai sihiri,Magician
Mai sikolshif,Bursar
Mai sintiri,Scavenger
Mai so,Fancier
Mai son,Desirous
Mai son abin duniya,Materialist
Mai son burge mata,Chivalrous
Mai son cutar da wani,Squelched
Mai son haskawa,Lustrous
Mai son jiki,Slaggish
Mai son kai,Selfishly
Mai son mutane,Benevolent
Mai son nuna isa,Overblown
Mai son rai,Soulful
Mai son wasa,Frisky
Mai son yaƙi,Warlike
Mai son zaman lafiya,Peaceable
Mai sosa rai,Irksome
Mai suka,Critic
Mai sulbi,Smooth
Mai sumul,Smooth
Mai suna,Entitled
Mai surutai,Rowdy
Mai surutu,Gaby
Mai taadi,Prodigal
Mai taba ruhi,Inspirational
Mai tabo,Muddy
Mai tada hankali,Egregiously
Mai tafasa,Boiling
Mai tafiya,Pedantic
Mai tafiya a ƙasa,Pedestrian
Mai taimako,Helpful
Mai taka tsantsan,Discretionary
Mai takurewa,Narrower
Mai talla,Publicist
Mai talla gida gida,Huckster
Mai tallafi,Supporter
Mai tambaya,Inquirer
Mai tanadi,Saver
Mai tarkace,Junky
Mai tashi,Flighty
Mai tattaunawa,Conversant
Mai tauri,Hard
Mai taurin kai,Defiant
Mai taurin zuciya,Hardhearted
Mai taurine kai,Headstrong
Mai tausayi,Pitiful
Mai taushi,Mushy
Mai tawali’u,Meek
Mai tawaliu,Humble
Mai tawayarwa,Depressing
Mai tawaye,Rebellious
Mai tone asiri,Tell-tale
Mai tsabta,Clean
Mai tsabtacewa,Cleaner
Mai tsabtsab,Smart
Mai tsada,Costlier
Mai tsaginagini,Fastidious
Mai tsakuwa,Stony
Mai tsami,Picket
Mai tsanani,Harsh
Mai tsanani (ciwo),Malignant
Mai tsanani sosai,Harsher
Mai tsantsani,Fastidious
Mai tsare ruwa,Waterproof
Mai tsarki,Holy
Mai tsaro,Watchdog
Mai tsaron kanti,A supermarket security
Mai tsaron raga,Security goals
Mai tsatsa,Rusty
Mai tsattsauran raayi,Fanatic
Mai tsauri,Critical
Mai tsawo,High
Mai tsayayya,Stubborn
Mai tsayi,Interminable
Mai tsayuwa,A stand
Mai tsegumi,Slanderer
Mai tseratarwa,Survivor
Mai tsima jiki,Lively
Mai tsimi,Economic
Mai tsini,Sharp
Mai tsiwa,Saucy
Mai tsokana,Nettlesome
Mai tsoratarwa,Horrible
Mai tsoro,Wimp
Mai tsufa kwarai,Dilapidated
Mai tubawa,Sorry
Mai tumbe,Defiant
Mai tunani,Ponderous
Mai tuntuben hannu,Clumsv
Mai tunzuri,Timid
Mai tunzurzwa,Acerbic
Mai turuwa,Pushy
Mai uzuri,Apologist
Mai wadata,Well-to-do
Mai wahala,Grievously
Mai wahami,Vain
Mai waibuwa,Weird
Mai walkiya,Brilliant
Mai walƙiya,Flaky
Mai wallafa wakoki,Poet
Mai walwala,Sociable
Mai wani,Supercillious
Mai wari,Smelly
Mai warkarwa,Curable
Mai wartsakewa,Revulsive
Mai warware matsala,Problem-solver
Mai wasa,Joker
Mai wasan kwaikwayo,Performer
Mai wasan motsa jiki,Gymnast
Mai wayo,Crafty
Mai wili hudu,Pram
Mai wuce gona da iri,Transcendental
Mai wuce yarda,Incredibly
Mai wucewa,Passive
Mai wulakanci,Humiliating
Mai wuya,Difficult
Mai wuyar fahimta,Mysterious
Mai wuyar ganewa,Obscure
Mai wuyar ratsewa,Rugged
Mai wuyar samu,Elusive
Mai wuyar shaani,Arduously
Mai wuyar tsarewa,Vulnerable
Mai wuyar yi,Onerous
Mai yaduwa,Contagious
Mai yaɗuwa,Contagious
Mai yaji,Hot
Mai yakana,Complacent
Mai yakini,Positive
Mai yalwa,Lavish
Mai yalwar zuciya,Broad
Mai yalwata,Copious
Mai yanci,Free
Mai yancin kai,Independent
Mai yankan aljihu,Pickpocket
Mai yar kiba,Plump
Mai yarda,Compliant
Mai yaudara,Misleading
Mai yawa,Dense
Mai yawan aiki,Busy
Mai yawan amfani,Fortuitous
Mai yawan dabaru,Ingenious
Mai yawan gashi,Bristle
Mai yawan gaske,Tremendous
Mai yawan haihuwa,Prolific
Mai yawan hankali,Meticulous
Mai yawan ibada,Devout
Mai yawan manufofi,Multi-purpose
Mai yawan sauyawa,Changeable
Mai yawan shaawa,Indulgent
Mai yawo,Wanker
Mai yi,Active
Mai yin abu ba kulawa,Bungler
Mai yin amai,Sick
Mai yin ciniki,Merchant
Mai yin fadanci,Satellite
Mai yin fyade,Rapist
Mai yin ridda,Renegade
Mai yin tawaye,Rebel
Mai yin tsalle,Jumper
Mai yin waka,Musician
Mai yiwuwa,Tentative
Mai yiyuwa,Affordable
Mai zabe,Elector
Mai zafafawa,Aggressive
Mai zafi,Poignant
Mai zafin kai,Hotheaded
Mai zagi,Cynic
Mai zaki,Sweet
Mai zaki,Sweet
Mai zaƙi,Sweet
Mai zalunci,Aggressor
Mai zama,Occupant
Mai zaman kai,Independent
Mai zaman kansa,Unattached
Mai zaman zuhudu,Monk
Mai zanawa,Designer
Mai zargi,Accuser
Mai zari,Glutton
Mai ziyara,Caller
Mai zubar da jini,Bloodthirsty
Mai zuciyar kare,Halfhearted
Mai zuga,Precipitous
Mai zugawa,Instigator
Mai zumudi,Aspiring
Mai zunubi,Sinful
Mai zurfi,Navigable
Mai zurfin ilmi,Erudite
Mai zurfin tunani,Cynical
Mai zurfin wayo,Subtle
Mai zuwa,Impending
Maida,Refund
Maida hankali,Rapt
Maida martani,Tit
Maido,Restoration
Maigida,Master
Maiko,Grease
Maiƙo,Grease
Maimaiko,Rather
Maimaita,Redundancy
Maimaita magana,Cliche
Maimaita zance,Cliched
Maimaitawa,Calumnious
Maimako,Instead
Maimakon,Instead
Maina,Pounds of
Mai-ruhi,High-spirited
Maiso,Maisouna
Maita,Witchcraft
Maiyi,Withdraws
Majagaba,Pioneer
Majajjawa,Sling
Majalaisar dattijan amurka,Commissioner deacons us
Majalisa,Council
Majalisa (a rasha),Soviet
Majalisan dokoki,Assembly
Majalisar,Cabinet
Majalisar dattawa,Senate
Majalisar dattawan,Synod
Majalisar dattijai,Senate
Majalisar dokoki,Legislature
Majalisar jami’a,Senate
Majalisar wakilai,House of representatives
Majalisar wakilai,House of representatives
Majalisar waƙilai,House of representatives
Majalisun dokoki,Legislature
Majami’a,Church
Majefa ƙuri’a,Majefa lots
Majema (wuri),Tannery
Majemi,Tanner
Majemiya,Majema
Majeranta,Successive
Majibinci,Sponsor
Majiɓinci,Patron
Majiɓinciya,Majibinciya
Majibinta,Protectors
Majiɓinta,Protectors
Majigi,Camwood
Majina,Phlegm
Majinar kirji,Phlegm
Majinyaci,Ill
Majistare,Magistrate
Majiya,Source
Majiyai,Sensations
Majiyyaci,Sick
Makabarta,Cemetery
Makada,Orchestra
Makadaici,Solitary
Makaɗaici,Solitary
Makadi,Musician
Makaho,Blind
Makala,Lodge
Maƙala,Attached
Makale,Stuck
Maƙale,Stuck
Makalu,Watch
Maƙalu,Watch
Makama,Handle
Makama (majiya),Logical
Makamai,Armaments
Makamancin gwangwala,Pole
Makamancin lingabu,Tender
Makamashi,Energy
Makami,Weapon
Makaneza,Valcanize
Makaniki,Fitter
Makankara,Fridge
Makanta,Blinding
Makantar da kai,Blindside
Makara,Bier
Makarai,Headwalls
Makaranta,Academy
Makaranta ta farko,Primary
Makararren abu,Belated
Makari,Prop
Maƙarƙashiya,Constipation
Makarkata,Vibrate
Makaru,Spell
Makaryaci,Fibber
Maƙaryaci,Liar
Makaryata,Liars
Maƙaryata,Liars
Makasudi,Object
Maƙasudi,Purpose
Makaurata,Colony
Makawa,Indispensable
Make,Hide
Makeke,Extensive
Makeken gida,Vast home
Makeken gidaje,Massive housing
Makera,Smithy
Makeri,Blacksmith
Makerin azurfa,Silversmith
Makero,Ringworm
Maketaci,Spiteful
Maki,Mark
Makirci,Conspiracy
Makiya,Enemies
Makiyaya,Meadow
Makiyaya mai shinge,Paddock
Makiyayi,Shepherd
Makiyayin tumaki,Shepherd
Makiyi,Enemy
Maƙiyi,Hostile
Maƙiyin kristi,Antichrist
Mako,Week
Mako biyu,Fortnight
Makodiya,Woodpacker
Makogwaro,Throat
Maƙogwaro,Throat
Makoka,Makok
Makoki,Bereaves
Makoko,Goiter
Makoma,Destiny
Makonni,Weeks
Makoriya,Makorwa
Makoshi,Throat
Maƙoshi,Throat
Makoyi,Instructor
Makoyiya,Instructor
Makuiyaci,Indolent
Makuiyyaci,Loafer
Makulashe,Dainty
Makulli,Deadlock
Makuna,You
Makunnin rage haske,Dimmer
Makunyaci,Shy
Makunyata,Shy
Makura,Strangled
Maƙura,Throttle
Makurɗi,Makurdi
Makure,Strangled animals
Makuru,Throttle
Makusa,Blemish
Makusanci,Neighbour
Makuwa,Strays
Makwabci,Neighbor
Makwabta,Vendetta
Maƙwabta,Neighbors
Makwafi,Fooling himself
Makwakkwafi da danginsu,Woodpacker
Makwanci,Lair
Makwancin namun daji,Lair
Makwanni,Weeks
Makwarau,Diphtheria
Makwarna,Duiker
Makwarwa,Gulp
Makyarkyata,Shiver
Makyauyaciya,Cramp
Mala’ila,Cherub
Malafa,Hat
Malaha,Sole
Malaika,Angel
Malala,Leaky
Malalaci,Lazy
Malalci,Idle
Malam,Butterfly
Malama,Educator
Malamai,Teachers
Malamar makaranta,Mistress
Malam-bude littafi,Butterfly
Malami,Clerical
Malamin hanya,Overseer
Malamin jami’a,Don
Malamin laburare,Librarian
Malamin majamia,Priest
Malamin makaranta,Master
Malanta,Scholarship
Maleku,Malek
Maleƙu,Malek
Mallaka,Possessive
Mallake,Monopolize
Mallakewa,Monopolizing
Mallaki,Proprietary
Malwa,Shackles
Mama,Breast
Mamaci,Deceased
Mamaki,Stunned
Mamakin,Baffled
Mamallaki,Owner
Mamaya,Overwhelming
Mamayar ciwon daji,Metastasis
Mamaye,Beset
Mamaye guri,Overrun
Mamayewa,Harboring
Man,Oil
Man fetur,Petroleum
Man kadanya,Shea butter
Man kade,Shea butter
Man shanu,Buttery
Man zafi na fata,Balm
Mana,Us
Manakisa,Incitement
Manazarci,Analyst
Manbari,Pulpit
Mandawari,Braid
Manɗo,Mando
Manduwa,Mandur
Manemi,Claimant
Manemiya,Claimant
Man-funi,Oil-funi
Mangwaro,Mango
Manhaja,Syllabus
Manhajar karatu,Syllabus
Manhajar waya,Phone software
Maniyi,Semen
Maniyyi,Drop
Manja (shugaban soja),Major
Manjagara,Rake
Manjo,Maj
Manƙas,Mankas
Manke,Darn
Mankind,Synonyms
Manna,Paste
Mannau,Mann
Manomi,Cultivator
Man-shanu,Oil-butter
Mansion,Apartment
Manta,Forget
Mantacce,Forgotten
Mantuwa,Forgetfully
Manufa,Ideal
Manufofi,Policy
Many,Mane
Manya,Adults
Manyan abubuwa,Masterpieces
Manyan ayukka,Capital
Manyan bindigogi,Artillery
Manzanni,Messengers
Manzo,Apostle
Manzon allah,The messenger of allah
Mara,Odd
Mara aibi,Faultless
Mara aibu,Harmless
Mara aiki,Erratic
Mara aiki sosai,Defective
Mara alama,Blank
Mara alfarma,Ill-favored
Mara alheri,Graceless
Mara alkibla,Unfocused
Mara amana,Distrustful
Mara amfani,Useless
Mara amo,Noiseless
Mara amsa,Unresponsive
Mara barata,Intransitive
Mara barci,Sleepless
Mara bukata,Needless
Mara canjuwa,Unchangeable
Mara ciwo,Painless
Mara da’a,Vulgur
Mara dadi,Hapless
Mara daɗi,Unfriendly
Mara dadi matuka,Rancid
Mara dadi sosai,Gruesome
Mara dadin magana,Gruff
Mara daidaito,Immoderately
Mara dan ‘uwa,Odd
Mara dan’uwa,Single
Mara dandano,Tasteless
Mara daraja,Worthless
Mara datti,Pure
Mara dorewa,Unsustainable
Mara fahimta,Gullible
Mara faraa,Cheerless
Mara farashi,Priceless
Mara fashi,Constant
Mara fusata,Placid
Mara gajiya,Fireball
Mara gamsarwa,Fussy
Mara ganuwa,Indiscernible
Mara garaje,Deliberate
Mara gardama,Undisputable
Mara gaskiya,Insincere
Mara gewaye-gewaye,Straight-forward
Mara girma,Bulkiness
Mara girman kai,Incredulous
Mara godiya,Ingrate
Mara gwibi,Thin
Mara hadari,Safe
Mara hakuri,Fidget
Mara haƙuri,Wireless patient
Mara hankali,Mindless
Mara hikima,Unwise
Mara horuwa,Wild
Mara hutu,Restless
Mara ilhama,Uninspired
Mara imani,Faithless
Mara inganci,Inefficient
Mara iyaka,Indeterminably
Mara iyala,Infinite
Mara izini,Unauthorized
Mara jarunta,Timid
Mara jinkiri,Unrelenting
Mara ka’ida,Indefinite
Mara kafe,Dry
Mara kaifi,Dull
Mara kakkautwa,Relentless
Mara kan gado,Irrational
Mara kara,Inaudible
Mara karfi,Frail
Mara ƙarfi,Powerless
Mara karfin guiwa,Droopy
Mara karfin hali,Spineless
Mara kariya,Defenseless
Mara karkashi,Dispirited
Mara karsashi,Insipid
Mara kauri,Thin
Mara kayan alatu,Unfurnished
Mara kayan yaki,Unarmed
Mara kayatarwa,Shabby
Mara kiba,Skinny
Mara kima,Invaluable
Mara kirik,Surly
Mara kirki,Douchebag
Mara kirkira,Uncreative
Mara kishiya,Unrivaled
Mara kome,Empty
Mara kudi,Unfunded
Mara kula,Inattentive
Mara kulawa,Uncaring
Mara kunya,Shameless
Mara kuskure,Incorrigibly
Mara kwakwalwa,Brainless
Mara kwarewa,Noob
Mara kwari,Slack
Mara kyau,Bad
Mara kyau matuka,Abysmal
Mara kyauta,Disingenuous
Mara ladabi,Rude
Mara lafiya,Unhealthy
Mara laifi,Blameless
Mara lalacewa,Indestructible
Mara lalatuwa,Untarnished
Mara lasisi,Unlicensed
Mara laudi,Rigid
Mara laushi,Coarse
Mara laya,Charmless
Mara lisaftuwa,Untold
Mara ma’ana,Pointless
Mara maana,Clueless
Mara madafa,Helpless
Mara magana da yawa,Laconic
Mara mai da hankali,Discombobulate
Mara makawa,Inevitable
Mara manufa,Aimless
Mara mataimaki,Single-handed
Mara matsala,Problem-free
Mara matuka,Indefinite
Mara misaltuwa,Incommensurate
Mara motsawa,Unmotivated
Mara motsi,Immobilized
